image_name,nuclei_count,total_area,avg_area,avg_norm_area,density
1-100.png,20,10059.041025337709,502.9520512668854,0.00767443925883309,0.00030517578125
1-1000.png,0,0.0,0.0,0.0,0.0
1-1009.png,14,10371.360549010944,740.811467786496,0.011303885922035156,0.000213623046875
1-1012.png,11,7308.000390029038,664.3636718208217,0.010137385129101893,0.0001678466796875
1-1020.png,66,25009.04061653365,378.92485782626744,0.005781934476108817,0.001007080078125
1-1023.png,62,26760.881166071595,431.6271155817999,0.006586107110317992,0.000946044921875
1-1038.png,68,15458.000135493963,227.32353140432298,0.0034686818146411587,0.00103759765625
1-1040.png,50,10228.24001444278,204.5648002888556,0.0031214111372200866,0.000762939453125
1-1045.png,21,14091.04040462752,671.0019240298819,0.010238676819303618,0.0003204345703125
1-105.png,27,15263.520742766463,565.3155830654246,0.00862603123573951,0.0004119873046875
1-1055.png,23,8945.92176690558,388.9531203002426,0.005934953617862588,0.0003509521484375
1-1066.png,12,6584.2400938131705,548.6866744844309,0.008372294227362532,0.00018310546875
1-1069.png,23,11540.080596757714,501.74263464163977,0.0076559850256597865,0.0003509521484375
1-1072.png,24,11430.960934778246,476.29003894909357,0.007267609236894128,0.0003662109375
1-1082.png,13,12450.23983510496,957.7107565465353,0.014613506417030873,0.0001983642578125
1-1088.png,27,15519.841413173688,574.8089412286552,0.008770888385447009,0.0004119873046875
1-1090.png,36,20340.721171789264,565.0200325497018,0.008621521492762784,0.00054931640625
1-1100.png,2,925.760018839776,462.880009419888,0.007062988424986084,3.0517578125e-05
1-1105.png,10,4192.240223083496,419.2240223083496,0.006396850926335901,0.000152587890625
1-1124.png,4,2235.2804553225506,558.8201138306376,0.008526918240823939,6.103515625e-05
1-114.png,24,16970.40079298049,707.1000330408538,0.010789490250257168,0.0003662109375
1-1140.png,26,16708.08081789762,642.6184929960623,0.009805580032288548,0.000396728515625
1-1141.png,22,16527.84094282172,751.2654974009873,0.011463401754775808,0.000335693359375
1-1147.png,0,0.0,0.0,0.0,0.0
1-1152.png,0,0.0,0.0,0.0,0.0
